state,year,donations,blood_type,population,donations_per_1000
Johor,2018,36684,,3749.4,9.783965434469515
Johor,2019,41261,,3761.2,10.970169094969691
Johor,2020,40705,,4009.7,10.151632291692646
Johor,2021,40409,,4020.0,10.051990049751243
Johor,2022,42832,,4028.3,10.63277313010451
Johor,2023,43706,,4107.2,10.641312816517337
Kedah,2018,61869,,2163.0,28.603328710124828
Kedah,2019,42506,,2173.7,19.554676358283114
Kedah,2020,18876,,2131.4,8.856150886741109
Kedah,2021,19946,,2151.7,9.269879630059954
Kedah,2022,21128,,2163.1,9.767463362766401
Kedah,2023,21564,,2189.3,9.849723655963093
Kelantan,2018,14508,,1860.5,7.797903789303951
Kelantan,2019,11583,,1883.8,6.148741904660792
Kelantan,2020,12757,,1792.5,7.116875871687587
Kelantan,2021,12095,,1812.3,6.673839871985875
Kelantan,2022,15060,,1830.6,8.226810881678139
Kelantan,2023,16716,,1859.8,8.988063232605656
Melaka,2018,30170,,922.4,32.7081526452732
Melaka,2019,30233,,928.4,32.56462731581215
Melaka,2020,27536,,998.4,27.580128205128204
Melaka,2021,27956,,1004.5,27.83076157292185
Melaka,2022,30510,,1008.6,30.249851279000595
Melaka,2023,28445,,1028.3,27.66216084800156
Negeri Sembilan,2018,16976,,1122.9,15.117998040787246
Negeri Sembilan,2019,18306,,1126.2,16.254661694192862
Negeri Sembilan,2020,16398,,1200.0,13.665
Negeri Sembilan,2021,14935,,1204.2,12.402424846371034
Negeri Sembilan,2022,15917,,1207.9,13.177415348952726
Negeri Sembilan,2023,16417,,1224.9,13.402726753204343
Pahang,2018,7095,,1664.7,4.26202919444945
Pahang,2019,15810,,1671.4,9.459136053607754
Pahang,2020,22155,,1591.3,13.922579023439955
Pahang,2021,22828,,1601.5,14.254136746799874
Pahang,2022,23851,,1614.3,14.77482500154866
Pahang,2023,22803,,1643.2,13.877190847127556
Perak,2018,44062,,2503.5,17.600159776313163
Perak,2019,41032,,2508.8,16.355229591836732
Perak,2020,40086,,2496.0,16.060096153846153
Perak,2021,43151,,2515.8,17.151999364019396
Perak,2022,46498,,2514.4,18.492682150811326
Perak,2023,46920,,2541.2,18.4637179285377
Pulau Pinang,2018,43769,,1762.8,24.829248922169278
Pulau Pinang,2019,43448,,1768.8,24.56354590682949
Pulau Pinang,2020,36512,,1740.4,20.979085267754538
Pulau Pinang,2021,35211,,1740.0,20.236206896551725
Pulau Pinang,2022,38420,,1740.9,22.069044746969958
Pulau Pinang,2023,41633,,1772.6,23.486968295159652
Sabah,2018,33850,,3898.4,8.683049456187154
Sabah,2019,36156,,3904.4,9.260321688351603
Sabah,2020,34069,,3418.8,9.965192465192464
Sabah,2021,31210,,3412.6,9.145519545214793
Sabah,2022,35530,,3414.9,10.404404228527921
Sabah,2023,39826,,3596.7,11.072927961742709
Sarawak,2018,37290,,2791.7,13.357452448328976
Sarawak,2019,37567,,2806.0,13.388096935138988
Sarawak,2020,33960,,2453.7,13.840322777845703
Sarawak,2021,35783,,2465.6,14.51289746917586
Sarawak,2022,40129,,2473.5,16.223569840307256
Sarawak,2023,41593,,2502.3,16.6219078447828
Terengganu,2018,17873,,1228.3,14.55100545469348
Terengganu,2019,16304,,1244.5,13.100843712334271
Terengganu,2020,15361,,1149.4,13.36436401600835
Terengganu,2021,16180,,1170.7,13.820790979755701
Terengganu,2022,18226,,1186.6,15.35985167706051
Terengganu,2023,19360,,1210.0,16.0
Klang Valley,2018,220958,all,8362.2,26.423429241108796
Klang Valley,2019,226571,all,8392.300000000001,26.997485790546094
Klang Valley,2020,199175,all,9085.699999999999,21.92181119781635
Klang Valley,2021,200061,all,9093.9,21.99947217365487
Klang Valley,2022,231726,all,9128.5,25.384893465520076
Klang Valley,2023,236420,all,9334.2,25.328362366351694
Perlis,2018,,all,293100.0,
Perlis,2019,,all,293100.0,
Perlis,2020,,all,293100.0,
Perlis,2021,,all,293100.0,
Perlis,2022,,all,293100.0,
Perlis,2023,,all,293100.0,
Labuan,2018,,all,99000.0,
Labuan,2019,,all,99000.0,
Labuan,2020,,all,99000.0,
Labuan,2021,,all,99000.0,
Labuan,2022,,all,99000.0,
Labuan,2023,,all,99000.0,
