state,blood_type,donations
Johor,A,10621
Johor,Ab,2296
Johor,B,11664
Johor,O,19124
Kedah,A,5420
Kedah,AB,1345
Kedah,B,6044
Kedah,O,8754
Kelantan,A,4424
Kelantan,AB,1109
Kelantan,B,4544
Kelantan,O,6639
Melaka,A,7280
Melaka,AB,1755
Melaka,B,7532
Melaka,O,11877
Negeri Sembilan,A,4052
Negeri Sembilan,AB,857
Negeri Sembilan,B,4378
Negeri Sembilan,O,7130
Pahang,A,5801
Pahang,AB,1342
Pahang,B,6395
Pahang,O,9263
Perak,A,11565
Perak,AB,2790
Perak,B,12962
Perak,O,19600
Pulau Pinang,A,10235
Pulau Pinang,AB,2597
Pulau Pinang,B,11319
Pulau Pinang,O,17482
Sabah,A,9049
Sabah,AB,1996
Sabah,B,9715
Sabah,O,19064
Sarawak,A,9984
Sarawak,AB,2499
Sarawak,B,11922
Sarawak,O,17188
Terengganu,A,4688
Terengganu,AB,1398
Terengganu,B,5379
Terengganu,O,7892
Klang Valley,A,59167
Klang Valley,AB,12070
Klang Valley,B,64298
Klang Valley,O,100868
