date,state,blood_type,donations
2018-01-01,Johor,all,78
2018-01-02,Johor,all,77
2018-01-03,Johor,all,71
2018-01-04,Johor,all,68
2018-01-05,Johor,all,0
2018-01-06,Johor,all,101
2018-01-07,Johor,all,187
2018-01-08,Johor,all,71
2018-01-09,Johor,all,87
2018-01-10,Johor,all,198
2018-01-11,Johor,all,171
2018-01-12,Johor,all,0
2018-01-13,Johor,all,128
2018-01-14,Johor,all,214
2018-01-15,Johor,all,44
2018-01-16,Johor,all,163
2018-01-17,Johor,all,57
2018-01-18,Johor,all,76
2018-01-19,Johor,all,0
2018-01-20,Johor,all,87
2018-01-21,Johor,all,151
2018-01-22,Johor,all,49
2018-01-23,Johor,all,167
2018-01-24,Johor,all,117
2018-01-25,Johor,all,126
2018-01-26,Johor,all,0
2018-01-27,Johor,all,126
2018-01-28,Johor,all,358
2018-01-29,Johor,all,57
2018-01-30,Johor,all,58
2018-01-31,Johor,all,315
2018-02-01,Johor,all,38
2018-02-02,Johor,all,0
2018-02-03,Johor,all,191
2018-02-04,Johor,all,150
2018-02-05,Johor,all,107
2018-02-06,Johor,all,130
2018-02-07,Johor,all,158
2018-02-08,Johor,all,131
2018-02-09,Johor,all,0
2018-02-10,Johor,all,21
2018-02-11,Johor,all,147
2018-02-12,Johor,all,150
2018-02-13,Johor,all,70
2018-02-14,Johor,all,117
2018-02-15,Johor,all,79
2018-02-16,Johor,all,0
2018-02-17,Johor,all,18
2018-02-18,Johor,all,148
2018-02-19,Johor,all,89
2018-02-20,Johor,all,73
2018-02-21,Johor,all,142
2018-02-22,Johor,all,40
2018-02-23,Johor,all,39
2018-02-24,Johor,all,161
2018-02-25,Johor,all,169
2018-02-26,Johor,all,85
2018-02-27,Johor,all,56
2018-02-28,Johor,all,63
2018-03-01,Johor,all,109
2018-03-02,Johor,all,42
2018-03-03,Johor,all,271
2018-03-04,Johor,all,180
2018-03-05,Johor,all,12
2018-03-06,Johor,all,95
2018-03-07,Johor,all,12
2018-03-08,Johor,all,78
2018-03-09,Johor,all,0
2018-03-10,Johor,all,288
2018-03-11,Johor,all,326
2018-03-12,Johor,all,68
2018-03-13,Johor,all,97
2018-03-14,Johor,all,86
2018-03-15,Johor,all,134
2018-03-16,Johor,all,0
2018-03-17,Johor,all,38
2018-03-18,Johor,all,298
2018-03-19,Johor,all,44
